C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\module-info.java,,module-info,43
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,org.jfree.chart.annotations,AbstractAnnotation,4,198
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,org.jfree.chart.annotations,AbstractXYAnnotation,11,186
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\Annotation.java,org.jfree.chart.annotations,Annotation,3,57
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryAnnotation.java,org.jfree.chart.annotations,CategoryAnnotation,3,60
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,org.jfree.chart.annotations,CategoryLineAnnotation,3,390
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,org.jfree.chart.annotations,CategoryPointerAnnotation,1,480
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryTextAnnotation.java,org.jfree.chart.annotations,CategoryTextAnnotation,3,246
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\package-info.java,org.jfree.chart.annotations,package-info,4
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\TextAnnotation.java,org.jfree.chart.annotations,TextAnnotation,2,314
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYAnnotation.java,org.jfree.chart.annotations,XYAnnotation,3,64
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYAnnotationBoundsInfo.java,org.jfree.chart.annotations,XYAnnotationBoundsInfo,1,64
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYBoxAnnotation.java,org.jfree.chart.annotations,XYBoxAnnotation,1,342
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYDataImageAnnotation.java,org.jfree.chart.annotations,XYDataImageAnnotation,2,335
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYDrawableAnnotation.java,org.jfree.chart.annotations,XYDrawableAnnotation,1,270
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYImageAnnotation.java,org.jfree.chart.annotations,XYImageAnnotation,1,272
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYLineAnnotation.java,org.jfree.chart.annotations,XYLineAnnotation,2,331
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYPointerAnnotation.java,org.jfree.chart.annotations,XYPointerAnnotation,1,494
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYPolygonAnnotation.java,org.jfree.chart.annotations,XYPolygonAnnotation,1,321
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYShapeAnnotation.java,org.jfree.chart.annotations,XYShapeAnnotation,1,272
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYTextAnnotation.java,org.jfree.chart.annotations,XYTextAnnotation,3,583
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYTitleAnnotation.java,org.jfree.chart.annotations,XYTitleAnnotation,1,359
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\api\HorizontalAlignment.java,org.jfree.chart.api,HorizontalAlignment,1,49
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\api\Layer.java,org.jfree.chart.api,Layer,1,37
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\api\LengthAdjustmentType.java,org.jfree.chart.api,LengthAdjustmentType,1,48
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\api\package-info.java,org.jfree.chart.api,package-info,4
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\api\PublicCloneable.java,org.jfree.chart.api,PublicCloneable,2,54
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\api\RectangleAlignment.java,org.jfree.chart.api,RectangleAlignment,1,139
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\api\RectangleAnchor.java,org.jfree.chart.api,RectangleAnchor,154
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\api\RectangleEdge.java,org.jfree.chart.api,RectangleEdge,1,110
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\api\RectangleInsets.java,org.jfree.chart.api,RectangleInsets,5,513
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\api\Rotation.java,org.jfree.chart.api,Rotation,67
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\api\SortOrder.java,org.jfree.chart.api,SortOrder,44
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\api\TableOrder.java,org.jfree.chart.api,TableOrder,1,44
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\api\UnitType.java,org.jfree.chart.api,UnitType,1,44
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\api\VerticalAlignment.java,org.jfree.chart.api,VerticalAlignment,1,49
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\api\XYCoordinateType.java,org.jfree.chart.api,XYCoordinateType,53
