file,class,method,variable,usage
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\data\time\TimeTableXYDataset.java,org.jfree.data.time.TimeTableXYDataset,"TimeTableXYDataset/2[java.util.TimeZone,java.util.Locale]",workingCalendar,1
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\data\time\TimeTableXYDataset.java,org.jfree.data.time.TimeTableXYDataset,"TimeTableXYDataset/2[java.util.TimeZone,java.util.Locale]",xPosition,1
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\data\time\TimeTableXYDataset.java,org.jfree.data.time.TimeTableXYDataset,"TimeTableXYDataset/2[java.util.TimeZone,java.util.Locale]",values,1
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\data\time\TimeTableXYDataset.java,org.jfree.data.time.TimeTableXYDataset,getDomainIsPointsInTime/0,domainIsPointsInTime,1
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\data\time\TimeTableXYDataset.java,org.jfree.data.time.TimeTableXYDataset,clear/0,values,2
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\data\time\TimeTableXYDataset.java,org.jfree.data.time.TimeTableXYDataset,hashCode/0,xPosition,1
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\data\time\TimeTableXYDataset.java,org.jfree.data.time.TimeTableXYDataset,hashCode/0,workingCalendar,1
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\data\time\TimeTableXYDataset.java,org.jfree.data.time.TimeTableXYDataset,hashCode/0,values,1
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\data\time\TimeTableXYDataset.java,org.jfree.data.time.TimeTableXYDataset,hashCode/0,domainIsPointsInTime,1
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\data\time\TimeTableXYDataset.java,org.jfree.data.time.TimeTableXYDataset,clone/0,workingCalendar,1
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\data\time\TimeTableXYDataset.java,org.jfree.data.time.TimeTableXYDataset,clone/0,values,1
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\data\time\TimeTableXYDataset.java,org.jfree.data.time.TimeTableXYDataset,"getEndXValue/2[int,int]",values,1
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\data\time\TimeTableXYDataset.java,org.jfree.data.time.TimeTableXYDataset,setDomainIsPointsInTime/1[boolean],domainIsPointsInTime,1
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\data\time\TimeTableXYDataset.java,org.jfree.data.time.TimeTableXYDataset,getXPosition/0,xPosition,1
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\data\time\TimeTableXYDataset.java,org.jfree.data.time.TimeTableXYDataset,"getStartXValue/2[int,int]",values,1
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\data\time\TimeTableXYDataset.java,org.jfree.data.time.TimeTableXYDataset,getXValue/1[org.jfree.data.time.TimePeriod],xPosition,3
